,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
5800,12224443,https://www.airbnb.com/rooms/12224443,20250617032754,2025-06-17,previous scrape,La Maison She She (Brownstone Private Apt.),"Entire Apartment for private use:<br />Sunny 1 bd apt with large queen sized bedroom, the spacious layout of this apt also has a living rm, dining rm and separate kitchen in a beautiful brownstone. Conveniently located on a lovely street (winner of the 2014 greenest Brooklyn block) and is only half a block from historic Saratoga park.","Neighborhood:<br />Winner of the 2014 greenest block award located in the sprawling Brooklyn neighborhood known as Bedford-Stuyvesant, or Bed Stuy, which is comprised of two historically different areas, Bedford and the historically more upscale Stuyvesant. Parts of the neighborhood are landmarked so the remarkable late-19th century feel of this area will be preserved. That means you can expect to see rows of gracious brownstone homes on tree-lined streets, lots of open sky (the buildings aren't more than four or five stories high), and historic buildings including churches and a small, old-fashioned community library.<br /><br />Cultural History: Long a bastion of New York City’s community, Bed-Stuy, like Harlem, has had a mixed population of home-owners and renters. Bedford Stuyvesant (along with other neighborhoods such as Fort Greene) has been an important political and cultural hub of black life in New York City.<br />Parks:<br />•Fulton Park, called “one of Brooklyn’s little know",https://a0.muscache.com/pictures/9595c38c-7108-4502-8a86-5014b7e04361.jpg,65760387,https://www.airbnb.com/users/show/65760387,Shelia,2016-04-04,"New York, NY","Hi, my Husband Patrick and I are native New Yorkers, born and raised in Brooklyn, We love to travel, listen to live music, cook and relax at home. We look forward to meeting and greeting you and hope to make you feel at home when you are in our Brownstone. ",,,,f,https://a0.muscache.com/im/pictures/user/cc8f13df-dc5a-4805-a59b-d24e0095f4a9.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/cc8f13df-dc5a-4805-a59b-d24e0095f4a9.jpg?aki_policy=profile_x_medium,Bedford-Stuyvesant,1.0,1.0,"['email', 'phone']",t,t,Neighborhood highlights,Bedford-Stuyvesant,Brooklyn,40.68505,-73.91965,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,"[""Essentials"", ""Kitchen"", ""First aid kit"", ""Hangers"", ""TV with standard cable"", ""Smoke alarm"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Fire extinguisher"", ""Heating"", ""Air conditioning""]",,30,1125,30,30,1125,1125,30.0,1125.0,,t,0,0,0,0,2025-06-17,43,0,0,0,0,0,,2016-06-21,2017-11-01,4.81,4.93,4.86,5.0,4.95,4.57,4.83,,f,1,1,0,0,0.39
6000,12563738,https://www.airbnb.com/rooms/12563738,20250617032754,2025-06-17,previous scrape,Stunning brownstone in W Harlem 4 Bdr 3.5 B garden,"Very conveniently located in South Harlem with a beautiful terrace and lovely garden, family oriented neighborhood, 2 minutes walk to the subway, banks, pharmacy,  grocery stores, supermarkets, happening restaurants and 5mn walk from Central Park.<br />This place is unique by its location, you are in the middle of the hip Central Harlem, less than 15mn by subway from Times Square yet in the backyard you can hear the birds and can rest from a hectic visit around New York city.<br />UTILITIES NOT INCLUDED.","The neighborhood is very family oriented, it changed a lot since the last 25 years we moved here. It has become a very hip area with lots of new restaurants and clubs. We have a ""whole food"" supermarket that just opened on 124th street and Lenox that delivers to the house. And soon a Trader Joe’s...The express trains 2 and 3 are 2 min walk from the house, Central Park 7 min walk perfect for jogging.",https://a0.muscache.com/pictures/121392da-c6d4-42d7-bc9e-db9d56022a60.jpg,10312167,https://www.airbnb.com/users/show/10312167,Razia,2013-11-28,"New York, NY","I am a singer songwriter environmental activist, a doctor in pharmacy and an entrepreneur living in Harlem. I fell in love with the area and and decided to buy this wonderful brownstone. Since then I had lots of wonderful guests who return on a regular basis and make it their own.  
The idea for me is to provide guests with a home far away from home!",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/3af9d051-a46d-474e-a0ba-a0138432359f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/3af9d051-a46d-474e-a0ba-a0138432359f.jpg?aki_policy=profile_x_medium,Harlem,4.0,5.0,"['email', 'phone']",t,t,Neighborhood highlights,Harlem,Manhattan,40.80475,-73.94929,Entire home,Entire home/apt,8,,3.5 baths,4.0,,"[""Sun loungers"", ""BBQ grill"", ""Window guards"", ""Hangers"", ""Hot water kettle"", ""Good conditioner"", ""Private patio or balcony"", ""Baking sheet"", ""First aid kit"", ""Clothing storage: closet"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Fireplace guards"", ""High chair"", ""Coffee maker"", ""Free street parking"", ""Movie theater"", ""GE stainless steel gas stove"", ""Outdoor furniture"", ""Essentials"", ""Dining table"", ""Fire extinguisher"", ""Babysitter recommendations"", ""Bed linens"", ""Private backyard \u2013 Fully fenced"", ""Smoke alarm"", ""Record player"", ""Iron"", ""Drying rack for clothing"", ""Ethernet connection"", ""Shower gel"", ""Safe"", ""Room-darkening shades"", ""Long term stays allowed"", ""Central heating"", ""Host greets you"", ""Dedicated workspace"", ""Cooking basics"", ""Private entrance"", ""Free dryer \u2013 In unit"", ""Dishes and silverware"", ""Kitchen"", ""Refrigerator"", ""Fire pit"", ""Books and reading material"", ""Luggage dropoff allowed"", ""Cleaning available during stay"", ""Barbecue utensils"", ""Dishwasher"", ""Good shampoo"", ""Rice maker"", ""Private sauna"", ""Paid parking off premises"", ""Window AC unit"", ""Ceiling fan"", ""Piano"", ""Laundromat nearby"", ""Mini fridge"", ""Sound system"", ""Indoor fireplace: wood-burning"", ""Blender"", ""Garden view"", ""Hot water"", ""Portable fans"", ""Free washer \u2013 In unit"", ""Bathtub"", ""Oven"", ""Crib"", ""Toaster"", ""Wine glasses"", ""Microwave"", ""Outdoor dining area"", ""Wifi"", ""Board games"", ""45 inch HDTV with standard cable, DVD player"", ""Extra pillows and blankets"", ""Cleaning products""]",,30,365,30,30,1125,1125,30.0,1125.0,,t,16,46,76,351,2025-06-17,67,0,0,184,0,0,,2016-05-30,2023-09-04,4.85,4.9,4.82,4.88,4.79,4.88,4.74,,f,4,3,1,0,0.61
6200,13192217,https://www.airbnb.com/rooms/13192217,20250617032754,2025-06-17,previous scrape,Private Sunny Cool Bushwick Bedroom,"The apartment is close to tons of coffee shops, bars, restaurants and DIY spots. You’ll love my home because of the unusual art, sunlight, subway access, the neighborhood, and the coziness. This is the right place for anyone looking for a place to relax in Bushwick with easy access to Manhattan.","Bushwick is a lively neighborhood that is a mix of families, young people and art weirdos. Walking down the street you'll pass women making tacos on the sidewalk, barber shops next to art galleries, coffee shops that are also book stores and warehouses turned into restaurants and bars.",https://a0.muscache.com/pictures/9160427b-b5aa-4edb-9806-fc85a2190b23.jpg,94946,https://www.airbnb.com/users/show/94946,Taylor,2010-03-17,"New York, NY","I'm the daughter of a flight attendant,  love to travel in unconventional ways and hang out with locals. I work with kids, like to collect records and study history.

Favorite places: London, Cambodia, Australia",,,,f,https://a0.muscache.com/im/pictures/user/bde7d120-f958-44e4-b9a4-509a079c4d2a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/bde7d120-f958-44e4-b9a4-509a079c4d2a.jpg?aki_policy=profile_x_medium,Bushwick,1.0,1.0,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Bushwick,Brooklyn,40.69712,-73.92123,Entire rental unit,Entire home/apt,3,,1 bath,1.0,,"[""Carbon monoxide alarm"", ""Lockbox"", ""Essentials"", ""Kitchen"", ""Hangers"", ""Smoke alarm"", ""Refrigerator"", ""Cooking basics"", ""Self check-in"", ""Hair dryer"", ""Wifi"", ""Dishes and silverware"", ""Hot water"", ""Free street parking"", ""Shampoo"", ""Heating"", ""Air conditioning"", ""Coffee maker""]",,30,1125,30,30,1125,1125,30.0,1125.0,,t,0,0,0,0,2025-06-17,29,0,0,0,0,0,,2017-07-08,2019-06-29,4.72,4.97,4.72,4.93,4.93,4.69,4.86,,f,1,1,0,0,0.3
6400,13451811,https://www.airbnb.com/rooms/13451811,20250617032754,2025-06-17,city scrape,New York City's Best Kept Secret🙊,"My place is close to Yankee Stadium, Bronx Museum of the Arts, Andrew Freedman Home. You’ll love my place because of Easy access to the subway and is only 5 min to Manhattan.","Take advantage of our location by exploring the charm and diversity of our own vibrant neighborhood, and our close proximity to artistically prolific sound rounding’s. With easy access to the East and West sides of Manhattan and Babe Ruth Plaza in Yankee Village. You'll see each area offers its own unique charm, no more than a 10-15 minute walk away!<br />The D and 4 express subways to Manhattan all stop at 167th street (just a 2 minute walk away). It's a 15 minute ride to Rockefeller Center, and 20 minutes to Union Square, and 30 minutes to Grand Central Station.<br />There is street parking available in front of our building.<br />Nearby Amenities: Our local grocery store Foodtown is just a 5 minute walk away on Gerard Ave, and Fine Fair Grocery store (2 blocks away) on 167th Street has the best produce. There are several specialty stores a few blocks away and Hard Rock Café and Yankee Tavern Bars and Target in The Bronx Terminal Market.",https://a0.muscache.com/pictures/1e499f7d-68a6-4d60-b9b4-43677564e236.jpg,23091281,https://www.airbnb.com/users/show/23091281,Sharon,2014-10-28,"New York, NY",I'm from Panama and love New York.  I've been living here with my husband and 3 kids since 2007.  We love meeting new people and sharing our city with people new to town.  We also like to travel to and go to new places we just got back from China on Jan 22nd 2016 looking at an international school in Beijing China.  We love to watch Science fiction movies and enjoy the outdoors.  ,within a few hours,100%,,f,https://a0.muscache.com/im/pictures/user/9e7b7019-7b74-46ad-8ac7-eeb25084d15b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/9e7b7019-7b74-46ad-8ac7-eeb25084d15b.jpg?aki_policy=profile_x_medium,Concourse,5.0,9.0,"['email', 'phone']",t,t,Neighborhood highlights,Concourse,Bronx,40.83106,-73.92168,Private room in rental unit,Private room,2,1.0,1 shared bath,2.0,2.0,"[""Dedicated workspace"", ""Essentials"", ""Exterior security cameras on property"", ""Cooking basics"", ""TV with standard cable"", ""Stove"", ""Private entrance"", ""Dishes and silverware"", ""Hot water"", ""Kitchen"", ""Hangers"", ""Refrigerator"", ""Oven"", ""Fire extinguisher"", ""Microwave"", ""Smoke alarm"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Carbon monoxide alarm"", ""Heating"", ""Air conditioning"", ""Coffee maker"", ""Paid parking off premises"", ""Free street parking"", ""Shampoo""]",$77.00,30,1125,30,30,1125,1125,30.0,1125.0,,t,29,59,89,364,2025-06-17,106,0,0,197,0,0,0.0,2016-06-22,2023-06-30,4.6,4.68,4.58,4.83,4.85,4.62,4.6,,f,3,0,3,0,0.97
6600,13998049,https://www.airbnb.com/rooms/13998049,20250617032754,2025-06-17,previous scrape,Cozy Studio blocks from Time Square & the Hudson.,"4-5 blocks from Time Square & 3 blocks from the Intrepid Museum & Hudson River, my place is close to Gotham West Market, The Pony Bar, and Room Service. You’ll love my place because of the location and that it faces away from the street, making is quiet & peaceful from the sounds of the city. My place is good for couples, solo adventurers, business travelers, and families (with kids).",,https://a0.muscache.com/pictures/4ac3695f-6d22-4ad8-855f-d105df1c9391.jpg,7245466,https://www.airbnb.com/users/show/7245466,Steven,2013-07-02,"New York, NY",,,,,f,https://a0.muscache.com/im/users/7245466/profile_pic/1372796848/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/7245466/profile_pic/1372796848/original.jpg?aki_policy=profile_x_medium,Hell's Kitchen,1.0,1.0,"['email', 'phone']",t,t,,Hell's Kitchen,Manhattan,40.76164,-73.99444,Entire rental unit,Entire home/apt,4,,1 bath,,,"[""Carbon monoxide alarm"", ""Fire extinguisher"", ""Essentials"", ""Kitchen"", ""Smoke alarm"", ""TV with standard cable"", ""Wifi"", ""Iron"", ""Shampoo"", ""Heating"", ""Air conditioning""]",,30,1125,30,30,1125,1125,30.0,1125.0,,t,0,0,0,0,2025-06-17,2,0,0,0,0,0,,2016-09-11,2017-01-05,4.5,4.5,4.0,3.5,4.5,5.0,4.5,,f,1,1,0,0,0.02
6800,14429957,https://www.airbnb.com/rooms/14429957,20250617032754,2025-06-17,previous scrape,Amazing Private Room close Time Sq & Central Park.,"Friendly hosts welcome you to their clean apartment located in the center of everything! Train station just one block away, walking distance to Times Square, Theatre District, Central Park. Door-to-door restaurants on the entire block, 24 hour store across street, bike tour rental on street.","Located in the Theatre District, the neighborhood is friendly and full of life! There is a beautiful coffee shop just downstairs, perfect for starting your morning and people watching.<br />Many different restaurants on the block, theater and shows just around the corner - walking distance to TIMES SQUARE (5 minute walk) CENTRAL PARK (10minite walk), the Hudson River promenade... <br /><br />There is a 24-hour store one block away for any last minute or emergency things you might need.<br /><br />Easiest access to public transportation.. The bus is on the block, the subway is just around the corner.",https://a0.muscache.com/pictures/4876a317-129d-4711-938b-a293ed6910c4.jpg,713764,https://www.airbnb.com/users/show/713764,Michelle & Heddy,2011-06-17,"New York, NY",,,,,f,https://a0.muscache.com/im/pictures/user/7c732ba0-45ec-4ded-95bd-d431fa23a16b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/7c732ba0-45ec-4ded-95bd-d431fa23a16b.jpg?aki_policy=profile_x_medium,,1.0,1.0,"['email', 'phone']",t,t,Neighborhood highlights,Hell's Kitchen,Manhattan,40.76475,-73.98902,Private room in rental unit,Private room,2,,1 shared bath,,,"[""Essentials"", ""Dishes and silverware"", ""Hot water"", ""Lock on bedroom door"", ""Hangers"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Microwave"", ""Bed linens"", ""First aid kit"", ""Smoke alarm"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Carbon monoxide alarm"", ""Heating"", ""Air conditioning"", ""Shower gel"", ""Coffee maker"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Shampoo""]",,30,1125,30,30,1125,1125,30.0,1125.0,,t,0,0,0,0,2025-06-17,160,0,0,0,0,0,,2016-09-06,2020-03-10,4.72,4.84,4.66,4.93,4.93,4.99,4.69,,f,1,0,1,0,1.5
7000,15323284,https://www.airbnb.com/rooms/15323284,20250617032754,2025-06-17,previous scrape,Comfortable Chelsea Room,"Located in the heart of Chelsea with easy subway access. Excellent nearby restaurants and a great spot to stay and explore New York from. Near to Chelsea Market, the High Line, Empire State, and other New York attractions. <br /><br />Apartment amenities include: queen bed, work space (desk and chair), dresser and closet space, air conditioning (bedroom only), heating, full kitchen (with dishwasher), and a washer and dryer in the building. This is an elevator building.",A great neighborhood with a ton of restaurants. Easy access to grocery stores including Wholefoods.,https://a0.muscache.com/pictures/43d96460-7565-47eb-ae9b-82577bbe1314.jpg,2657430,https://www.airbnb.com/users/show/2657430,Rahul,2012-06-17,"New York, NY",,,,,f,https://a0.muscache.com/im/users/2657430/profile_pic/1400253485/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2657430/profile_pic/1400253485/original.jpg?aki_policy=profile_x_medium,Chelsea,2.0,2.0,"['email', 'phone']",t,t,Neighborhood highlights,Chelsea,Manhattan,40.74833,-74.00189,Private room in rental unit,Private room,2,,1 shared bath,,,"[""Essentials"", ""Cooking basics"", ""Stove"", ""Dishes and silverware"", ""TV"", ""Hot water"", ""Dryer"", ""Washer"", ""Lock on bedroom door"", ""Kitchen"", ""Hangers"", ""Refrigerator"", ""Oven"", ""Luggage dropoff allowed"", ""Microwave"", ""Bed linens"", ""Smoke alarm"", ""Elevator"", ""Wifi"", ""Iron"", ""Heating"", ""Air conditioning"", ""Dishwasher"", ""Paid parking off premises"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Shampoo""]",,30,1125,30,30,1125,1125,30.0,1125.0,,t,0,0,0,0,2025-06-17,3,0,0,0,0,0,,2018-05-05,2018-08-03,5.0,5.0,4.33,5.0,5.0,5.0,4.33,,f,2,0,2,0,0.03
7200,16101054,https://www.airbnb.com/rooms/16101054,20250617032754,2025-06-17,previous scrape,Modern Studio overlooking Empire State building,"Welcome to my bright and modern studio in Kips Bay, with a prime view of the Empire State building!<br /><br />Walking distance to 5th Ave Shopping, Empire State, Flatiron, Rooftop Bars. <br /><br />Safe and quiet neighborhood. <br /><br />Elevator with easy access.<br />Washer and dryer in unit.<br />Fully equipped kitchen.<br />Private gym 24h.<br />Rooftop terrace.<br /><br />Great spot for couples, adventurers, business travelers.",,https://a0.muscache.com/pictures/906ea886-a7bb-473f-82a4-8d83e92f7056.jpg,13224803,https://www.airbnb.com/users/show/13224803,Roxana,2014-03-17,"New York, NY",I'm a Software Engineer currently living in New York. I enjoy traveling and broadening my perspective by discovering (and rediscovering) new cultures.,,,,f,https://a0.muscache.com/im/pictures/user/8b83d47d-ba2b-4664-96a8-924ca1d5859b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/8b83d47d-ba2b-4664-96a8-924ca1d5859b.jpg?aki_policy=profile_x_medium,Kips Bay,2.0,2.0,"['email', 'phone']",t,t,,Kips Bay,Manhattan,40.74272,-73.98002,Entire rental unit,Entire home/apt,2,,1 bath,,,"[""Carbon monoxide alarm"", ""Dryer"", ""Washer"", ""Essentials"", ""Kitchen"", ""Hangers"", ""Smoke alarm"", ""Elevator"", ""Gym"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Hot water"", ""Shampoo"", ""Heating"", ""Air conditioning"", ""Luggage dropoff allowed""]",,31,1124,31,31,1125,1125,31.0,1125.0,,t,0,0,0,0,2025-06-17,52,0,0,0,0,0,,2016-11-27,2019-05-10,4.96,4.98,4.9,4.94,4.92,4.86,4.8,,f,1,1,0,0,0.5
7400,16414744,https://www.airbnb.com/rooms/16414744,20250617032754,2025-06-17,previous scrape,Beautiful room in the heart of Time Square,"Our apartment offers a Quiet private room, a full kitchen and bathroom with tub. Laundry is available downstairs and roof access for a beautiful view in the middle of Hell's Kitchen on restaurant row. Blocks from all subway lines and Time Square",Middle of the Theatre District.,https://a0.muscache.com/pictures/899ea6f3-3df6-432f-bf7e-2324c8c7ddfb.jpg,4923854,https://www.airbnb.com/users/show/4923854,Carly,2013-01-31,"New York, NY","Hi, my name is Carly. I’m from Utah but have lived in New York City for the past 12 years. I own two businesses. Both in the esthetics industry. I love to travel and experience new places. My favorite quote is “if there is a will, there is a way”! ",,,,f,https://a0.muscache.com/im/pictures/user/e40b82c6-85f2-4239-a819-84e679c0d225.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/e40b82c6-85f2-4239-a819-84e679c0d225.jpg?aki_policy=profile_x_medium,,1.0,1.0,"['email', 'phone', 'work_email']",t,f,Neighborhood highlights,Hell's Kitchen,Manhattan,40.76135,-73.99038,Private room in rental unit,Private room,2,,1 shared bath,,,"[""Carbon monoxide alarm"", ""Dryer"", ""Washer"", ""Essentials"", ""Kitchen"", ""First aid kit"", ""Hangers"", ""TV with standard cable"", ""Smoke alarm"", ""Elevator"", ""Host greets you"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Shampoo"", ""Heating"", ""Air conditioning""]",,30,1125,30,30,1125,1125,30.0,1125.0,,,0,0,0,0,2025-06-17,1,0,0,0,0,0,,2018-01-01,2018-01-01,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,0,1,0,0.01
7600,17268091,https://www.airbnb.com/rooms/17268091,20250617032754,2025-06-17,previous scrape,Entire Studio Apt in Trendy Brooklyn - Sunny&clean,"Cozy yet spacious studio apt perfect for solo travelers, couples or friends. Located in trendy Brooklyn, a 5 min walk to the 2/3/5 trains, restaurants, and bars, with a laundromat, supermarket, hip cafes and bar literally at the corner.<br /><br />Historic sites such as the Brooklyn Museum, Botanical Gardens, and Prospect Park are a nice 15-20 min walk down Eastern Parkway. Brooklyn Bridge is a few stops away by train. <br /><br />Friendly, energetic and diverse community. A 30 min train ride to lower Manhattan.","You'll find a friendly, energetic and diverse community. Two Saints bar on the corner is a great little spot for drinks and bar food, including pizza and sandwiches, where the neighborhood locals are very friendly, as are the bar staff – Ari, Jacky and Laney.",https://a0.muscache.com/pictures/8a777e0c-a48e-4079-88f3-457acd1884f2.jpg,6396827,https://www.airbnb.com/users/show/6396827,Gyaltsen Benita,2015-06-19,"San Francisco, CA","I love traveling and exploring new places. As a guest, I'm very tidy and I enjoy and respect the spaces I am welcomed into. As a host, I hope you find your stay cozy and pleasant.",,,,f,https://a0.muscache.com/im/pictures/user/74cf6370-49ce-4090-a1ff-9f7df3722c93.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/74cf6370-49ce-4090-a1ff-9f7df3722c93.jpg?aki_policy=profile_x_medium,Crown Heights,1.0,1.0,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Crown Heights,Brooklyn,40.67247,-73.9482,Entire rental unit,Entire home/apt,3,,1 bath,,,"[""Essentials"", ""Kitchen"", ""Hair dryer"", ""TV"", ""Iron"", ""Wifi"", ""Heating"", ""Air conditioning""]",,30,1125,30,30,1125,1125,30.0,1125.0,,,0,0,0,0,2025-06-17,16,0,0,0,0,0,,2017-03-11,2017-06-06,4.88,4.88,4.94,4.94,5.0,4.5,5.0,,f,1,1,0,0,0.16
7800,17683903,https://www.airbnb.com/rooms/17683903,20250617032754,2025-06-17,previous scrape,Full Brownstone Near Prospect Park,"This is a whole townhouse, a light colored limestone classic Brooklyn ""brownstone."" It's our family home, the typical nuclear family, with an artsy bent. It's very cozy.<br /><br />Ideally you're looking for a place around the same length that we're gone. You're welcome to make yourself at home. The deck and garden are awesome in summer. It's not a party house, but you're more than welcome to enjoy our home as a respite from the big city. <br /><br />Ask away. We're happy to offer honest answers!","Brooklyn is crazy fun and you're going to have a great time. But it's quirky too. Which means it can take a bit of getting used to. If you take an open-minded approach, any interactions with other Brooklynites can be a learning experience. Since every type of human lives here from every place on earth, you can expect the unexpected. But don't worry - you're safe. There's always a hundred people around you, most all of them lovely and willing to lend a hand if you need it. If you need help, ask. You'll nearly always be amazed at the generosity and friendliness of New Yorkers when you approach them.<br /><br />So where are you? You're in the giant and storied neighborhood of Flatbush. About 150,000 people live in Flatbush, so it gets chopped up into micro-neighborhoods (micronabes). 31 Clarkson Avenue is the southernmost part of a micronabe called Lefferts Gardens (Prospect Lefferts Gardens, or PLG, are other monikers). It runs from Empire Blvd on the north edge, New York Avenue to the e",https://a0.muscache.com/pictures/b014aa30-05aa-40a7-aea2-d61e1dc80b74.jpg,21725994,https://www.airbnb.com/users/show/21725994,Tim,2014-09-24,"New York, NY","Musical, goofy, friendly and open. Seeking the perfect balance between work, love, play, family and sleep. With occasional cookie breaks.",,,,f,https://a0.muscache.com/im/pictures/user/ad2c4abd-52aa-4eb7-b3b6-bd37ceb2f1bd.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/ad2c4abd-52aa-4eb7-b3b6-bd37ceb2f1bd.jpg?aki_policy=profile_x_medium,Lefferts Garden,1.0,2.0,"['email', 'phone']",t,t,Neighborhood highlights,Prospect-Lefferts Gardens,Brooklyn,40.65625,-73.9578,Entire home,Entire home/apt,6,,2 baths,4.0,,"[""Essentials"", ""Private entrance"", ""Dishes and silverware"", ""TV"", ""Hot water"", ""Dryer"", ""Kitchen"", ""Free washer \u2013 In unit"", ""Hangers"", ""Refrigerator"", ""Fire extinguisher"", ""Microwave"", ""Private backyard \u2013 Fully fenced"", ""First aid kit"", ""Smoke alarm"", ""Self check-in"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Carbon monoxide alarm"", ""Heating"", ""Air conditioning"", ""Coffee maker"", ""Indoor fireplace: gas"", ""Paid parking off premises"", ""Free street parking"", ""Shampoo"", ""Lockbox""]",,30,35,30,30,35,35,30.0,35.0,,t,0,0,0,0,2025-06-17,18,0,0,0,0,0,,2017-08-06,2023-08-13,5.0,5.0,4.78,5.0,4.94,4.89,4.94,,f,1,1,0,0,0.19
8000,18692028,https://www.airbnb.com/rooms/18692028,20250617032754,2025-06-17,city scrape,MODERN 3 BEDROOM APT IN THE HEART OF BROOKLYN,"The best block in the 5 boroughs! This huge 3bedroom/1700 SQF apartment is ideal for 6-8 people and is located in the heart of dumbo. place is fully furnished with a bed in all 3 bedrooms with dining and living room furniture and a flatscreen tv! The Space also boasts a 12 foot high ceiling with exposed brick walls creating a unique open living area in this oversized space. Original tin ceiling, modern kitchen and an expansive living room. along with high speed wifi,cable and HBO","The abundance of restaurants are right at your fingertips including the famous river cafe and Grimaldis pizza, easy subway transportation with the F/A/C 2/3 lines and will take you to manhattan in minutes. enjoy the old Fulton seaport and explore brooklyn bridge and its dramatic surroundings along with numerous tourist attractions including the ferry.",https://a0.muscache.com/pictures/8a452d4a-0d74-43ee-847f-77a0f593ac3d.jpg,128707088,https://www.airbnb.com/users/show/128707088,Nazila,2017-05-03,"New York, NY",,,,,f,https://a0.muscache.com/im/pictures/user/4ca608b2-e41e-4a4b-8710-82ee816cb1b4.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/4ca608b2-e41e-4a4b-8710-82ee816cb1b4.jpg?aki_policy=profile_x_medium,Downtown Brooklyn,1.0,3.0,"['email', 'phone']",t,f,Neighborhood highlights,Brooklyn Heights,Brooklyn,40.70114,-73.9919,Entire rental unit,Entire home/apt,7,2.0,2 baths,3.0,3.0,"[""Essentials"", ""TV with standard cable"", ""Stove"", ""Breakfast"", ""Dishes and silverware"", ""Kitchen"", ""Hangers"", ""Refrigerator"", ""Oven"", ""Microwave"", ""Smoke alarm"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Carbon monoxide alarm"", ""Heating"", ""Air conditioning"", ""Coffee maker"", ""Dishwasher"", ""Shampoo""]",$428.00,30,1125,30,30,1125,1125,30.0,1125.0,,t,29,59,89,364,2025-06-17,178,0,0,197,0,0,0.0,2017-06-04,2023-12-03,4.48,4.62,4.54,4.82,4.75,4.94,4.58,,t,1,1,0,0,1.82
